Event,Desc
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR0,CMS Agent1 BL Credits Occupancy For Transgress 0
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR1,CMS Agent1 BL Credits Occupancy For Transgress 1
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR2,CMS Agent1 BL Credits Occupancy For Transgress 2
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR3,CMS Agent1 BL Credits Occupancy For Transgress 3
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR4,CMS Agent1 BL Credits Occupancy For Transgress 4
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR5,CMS Agent1 BL Credits Occupancy For Transgress 5
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR6,CMS Agent1 BL Credits Occupancy For Transgress 6
UNC_H_AG1_BL_CRD_OCCUPANCY.TGR7,CMS Agent1 BL Credits Occupancy For Transgress 7
UNC_H_AG1_BL_CRD_OCCUPANCY_EXT.ANY_OF_TGR0_THRU_TGR7,CMS Agent1 BL Credits Occupancy For Transgress 0-7
UNC_H_AG1_BL_CRD_OCCUPANCY_EXT.TGR8,CMS Agent1 BL Credits Occupancy For Transgress 8
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR0,Stall on No AD Transgress Credits For Transgress 0
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR1,Stall on No AD Transgress Credits For Transgress 1
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR2,Stall on No AD Transgress Credits For Transgress 2
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR3,Stall on No AD Transgress Credits For Transgress 3
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR4,Stall on No AD Transgress Credits For Transgress 4
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR5,Stall on No AD Transgress Credits For Transgress 5
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR6,Stall on No AD Transgress Credits For Transgress 6
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD.TGR7,Stall on No AD Transgress Credits For Transgress 7
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD_EXT.ANY_OF_TGR0_THRU_TGR7,Stall on No AD Transgress Credits For Transgress 0-7
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_AD_EXT.TGR8,Stall on No AD Transgress Credits For Transgress 8
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR0,Stall on No AD Transgress Credits For Transgress 0
UNC_H_AG1_STALL_NO_CRD_EGRESS_HORZ_BL.TGR1,Stall on No AD Transgress Credits For Transgress 1
